scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
2	3	6	54.510000	0.311111
2	7	3	12.460000	0.063636
2	185	48	0.820000	0.426716
2	190	61	1.100000	0.417908
2	197	75	1.390000	0.398023
2	199	87	1.640000	0.414268
2	202	99	1.900000	0.414761
2	205	110	2.120000	0.411051
2	209	121	2.390000	0.413793
2	215	131	2.620000	0.300000
2	218	140	2.810000	0.297872
2	229	150	3.050000	0.278571
2	233	159	3.290000	0.256835
2	234	167	3.490000	0.239568
2	243	175	3.700000	0.219565
2	246	183	3.900000	0.202174
2	239	190	4.060000	0.183942
2	235	204	4.440000	0.000000
2	222	211	4.660000	0.000000
2	218	217	4.830000	0.000000
2	212	223	5.000000	0.000000
2	205	229	5.170000	0.000000
2	198	235	5.350000	0.000000
2	193	239	5.530000	0.160550
2	187	244	5.650000	0.187963
2	182	250	5.830000	0.220370
2	177	254	5.960000	0.252778
2	173	259	6.140000	0.268224
2	168	255	6.530000	0.290566
2	164	248	7.060000	0.306667
2	160	241	7.620000	0.323077
2	160	234	8.120000	0.312621
2	151	229	8.730000	0.363725
2	148	221	9.280000	0.374257
2	145	216	9.770000	0.374747
2	141	210	10.270000	0.392857
2	137	205	10.890000	0.411340
2	135	199	11.440000	0.415625
2	133	194	11.910000	0.420000
2	129	189	12.500000	0.439362
2	126	184	13.000000	0.451613
2	124	180	13.530000	0.456522
2	121	176	14.070000	0.469231
2	119	172	14.630000	0.474444
2	117	168	15.200000	0.479775
2	114	164	15.680000	0.493182
2	112	161	16.300000	0.498851
0	110	158	16.800000	0.504651
0	109	155	17.460000	0.502353
0	107	151	18.000000	0.631491
0	104	148	18.420000	0.650551
0	102	145	19.140000	0.661526
0	101	142	19.590000	0.664117
0	98	140	20.040000	0.680962
0	97	137	20.670000	0.683840
0	96	134	21.150000	0.686776
0	95	133	21.810000	0.682955
0	92	130	22.320000	0.704356
0	91	128	22.840000	0.704155
0	91	126	23.380000	0.694483
0	88	124	23.930000	0.713307
0	87	122	24.490000	0.724790
0	87	120	25.070000	0.715142
0	84	118	25.670000	0.729331
0	84	116	26.070000	0.725000
0	82	114	26.690000	0.735205
0	81	112	27.120000	0.735407
0	80	110	27.770000	0.735608
0	79	108	28.220000	0.748311
