scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
0	63	69	15.320000	0.866135
0	63	71	15.440000	0.882120
0	64	73	15.560000	0.899437
0	64	75	15.680000	0.907032
0	65	77	15.800000	0.924349
0	65	78	15.800000	0.928147
0	66	80	15.920000	0.933974
0	66	82	16.050000	0.926282
0	67	84	16.170000	0.937486
0	68	85	16.290000	0.943499
0	69	89	16.550000	0.933528
0	69	91	16.680000	0.925736
0	70	92	16.670000	0.931699
0	70	94	16.800000	0.933766
0	70	95	16.930000	0.929870
0	71	97	17.060000	0.912078
0	71	98	17.060000	0.914551
0	72	100	17.190000	0.929237
0	72	101	17.330000	0.940329
0	73	103	17.460000	0.955128
0	73	104	17.460000	0.952216
0	73	106	17.590000	0.943363
0	74	107	17.730000	0.949397
0	75	108	17.730000	0.955430
0	74	110	17.870000	0.940573
0	75	111	18.000000	0.952115
0	76	113	18.140000	0.955266
0	60	63	14.970000	0.811592
0	49	50	23.190000	0.777106
0	60	63	14.970000	0.811592
0	48	49	23.560000	0.773547
0	60	63	14.970000	0.811592
0	48	49	23.740000	0.773547
0	60	63	14.970000	0.811592
0	48	49	24.110000	0.773547
0	60	63	14.970000	0.811592
0	47	48	24.300000	0.769872
0	60	63	14.970000	0.811592
0	47	49	24.680000	0.774487
0	60	63	14.970000	0.811592
0	47	48	24.870000	0.769872
0	60	63	14.970000	0.811592
0	47	47	25.270000	0.777940
0	60	63	14.970000	0.811592
0	45	47	25.460000	0.754211
0	60	63	14.970000	0.811592
0	46	46	25.660000	0.764810
0	60	63	14.970000	0.811592
0	46	45	26.070000	0.769458
0	60	63	14.970000	0.811592
0	45	45	26.280000	0.757389
0	60	63	14.970000	0.811592
0	45	45	26.690000	0.770374
0	60	63	14.970000	0.811592
0	45	45	26.910000	0.770374
0	60	63	14.970000	0.811592
0	44	44	27.120000	0.756744
0	60	63	14.970000	0.811592
0	45	44	27.330000	0.769025
0	60	63	14.970000	0.811592
0	44	44	27.550000	0.766393
0	60	63	14.970000	0.811592
0	43	44	27.770000	0.753893
0	60	63	14.970000	0.811592
0	43	43	28.220000	0.752500
0	60	63	14.970000	0.811592
0	43	43	28.440000	0.762273
0	60	63	14.970000	0.811592
0	43	42	28.670000	0.760832
0	60	63	14.970000	0.811592
0	42	42	28.900000	0.748105
0	60	63	14.970000	0.811592
0	42	41	29.370000	0.756513
0	60	63	14.970000	0.811592
0	42	41	29.610000	0.756513
0	60	63	14.970000	0.811592
0	41	41	29.850000	0.743550
0	60	63	14.970000	0.811592
0	42	41	30.090000	0.766786
0	60	63	14.970000	0.811592
0	41	40	30.330000	0.752036
0	60	63	14.970000	0.811592
0	41	40	30.580000	0.752036
0	60	63	14.970000	0.811592
0	41	40	30.830000	0.752036
0	60	63	14.970000	0.811592
0	41	40	31.080000	0.766209
0	60	63	14.970000	0.811592
0	40	39	31.590000	0.747390
0	60	63	14.970000	0.811592
0	40	40	31.850000	0.767201
0	60	63	14.970000	0.811592
0	39	39	32.380000	0.748021
0	60	63	14.970000	0.811592
0	40	38	32.650000	0.760131
0	60	63	14.970000	0.811592
0	39	38	32.920000	0.757111
0	60	63	14.970000	0.811592
0	40	39	33.470000	0.780755
0	60	63	14.970000	0.811592
0	39	38	33.750000	0.772237
0	60	63	14.970000	0.811592
0	38	37	34.030000	0.752291
0	60	63	14.970000	0.811592
0	38	37	34.320000	0.756319
0	60	63	14.970000	0.811592
0	38	37	34.900000	0.767628
0	60	63	14.970000	0.811592
0	37	36	35.190000	0.751348
0	60	63	14.970000	0.811592
0	37	36	35.490000	0.751348
0	60	63	14.970000	0.811592
0	36	36	35.790000	0.747935
0	60	63	14.970000	0.811592
0	37	36	36.100000	0.767064
0	60	63	14.970000	0.811592
0	36	35	36.410000	0.746170
0	60	63	14.970000	0.811592
0	36	35	36.720000	0.757826
0	60	63	14.970000	0.811592
0	36	35	37.040000	0.762112
0	60	63	14.970000	0.811592
0	36	35	37.350000	0.762112
0	60	63	14.970000	0.811592
0	35	34	37.350000	0.740772
0	60	63	14.970000	0.811592
0	36	34	37.680000	0.772500
0	60	63	14.970000	0.811592
0	34	34	38.000000	0.741389
0	60	63	14.970000	0.811592
0	35	34	38.330000	0.756944
0	60	63	14.970000	0.811592
0	34	33	38.670000	0.739527
0	60	63	14.970000	0.811592
0	35	33	39.010000	0.767456
0	60	63	14.970000	0.811592
0	35	33	39.350000	0.767456
0	60	63	14.970000	0.811592
0	34	32	39.350000	0.745164
0	60	63	14.970000	0.811592
0	34	32	39.700000	0.749605
0	60	63	14.970000	0.811592
0	33	33	40.050000	0.752427
0	60	63	14.970000	0.811592
0	34	33	40.400000	0.768706
0	60	63	14.970000	0.811592
0	34	32	40.400000	0.762184
0	60	63	14.970000	0.811592
0	33	32	40.760000	0.750543
0	60	63	14.970000	0.811592
0	34	32	41.120000	0.780000
0	60	63	14.970000	0.811592
0	33	31	41.490000	0.761364
0	60	63	14.970000	0.811592
0	33	32	41.490000	0.768182
0	60	63	14.970000	0.811592
0	32	31	41.860000	0.744697
0	60	63	14.970000	0.811592
0	33	31	42.240000	0.774778
0	60	63	14.970000	0.811592
0	33	30	42.240000	0.767960
0	60	63	14.970000	0.811592
0	32	31	43.010000	0.762621
0	60	63	14.970000	0.811592
0	32	31	43.010000	0.762621
0	59	63	14.970000	0.802003
0	32	31	43.400000	0.781429
0	58	61	15.080000	0.784914
0	31	31	43.790000	0.763929
0	57	58	15.200000	0.764075
0	32	30	43.790000	0.774286
0	56	56	15.320000	0.749645
0	32	31	44.200000	0.781429
0	55	53	15.560000	0.735988
0	31	30	44.200000	0.756786
0	54	51	15.680000	0.718671
0	31	30	44.600000	0.775922
0	53	48	15.800000	0.697556
0	31	29	45.010000	0.768605
0	52	46	15.920000	0.682479
0	31	29	45.010000	0.768605
0	51	43	16.170000	0.668202
0	31	29	45.430000	0.768605
0	50	41	16.290000	0.650650
0	30	28	45.430000	0.743340
0	49	39	16.420000	0.633099
0	30	29	45.850000	0.770132
0	46	37	16.550000	0.597677
0	31	28	45.850000	0.781053
0	45	35	16.670000	0.580026
0	30	29	46.720000	0.775708
0	44	29	17.060000	0.552987
0	30	30	46.720000	0.783401
0	43	26	17.190000	0.532632
0	30	29	47.160000	0.790644
0	42	22	17.460000	0.512929
0	30	29	47.600000	0.790644
2	39	20	17.590000	0.474600
0	29	29	47.600000	0.771726
2	14	15	17.730000	0.476902
2	24	18	17.730000	0.451467
0	30	29	48.050000	0.796515
2	14	15	17.730000	0.476902
2	23	17	17.870000	0.431551
0	29	28	48.050000	0.769701
2	12	14	17.730000	0.468442
2	21	12	18.140000	0.283636
