scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
0	104	36	0.640000	0.750419
0	103	43	0.800000	0.777262
0	100	50	0.920000	0.818537
0	99	56	1.040000	0.842576
0	102	63	1.200000	0.834552
0	97	70	1.320000	0.890822
0	99	76	1.450000	0.893219
0	100	82	1.570000	0.905119
0	100	88	1.700000	0.914586
0	99	93	1.830000	0.936241
0	98	99	1.960000	0.960752
0	96	104	2.050000	0.992632
0	95	110	2.180000	0.982692
0	94	115	2.320000	0.968269
0	94	120	2.410000	0.953846
0	92	125	2.550000	0.921029
0	91	130	2.640000	0.899019
0	91	132	2.830000	0.900480
0	90	128	3.120000	0.900949
0	91	126	3.420000	0.921803
0	90	123	3.720000	0.919436
0	89	121	4.040000	0.921615
0	88	119	4.310000	0.919923
0	86	123	4.690000	0.896162
0	85	112	5.210000	0.925682
0	84	110	5.510000	0.920468
0	84	114	5.810000	0.915604
0	83	102	6.380000	0.949066
0	81	100	6.640000	0.935935
0	82	99	7.040000	0.951484
0	81	98	7.320000	0.954293
0	81	96	7.600000	0.957381
0	81	94	7.890000	0.971774
0	81	92	8.180000	0.975000
0	82	91	8.560000	0.991566
0	80	89	8.860000	0.968105
0	83	88	9.100000	0.984797
0	82	86	9.340000	0.986667
0	79	83	9.750000	0.962491
0	77	84	9.920000	0.948578
0	76	83	10.340000	0.947955
0	77	83	10.600000	0.956705
0	75	82	10.780000	0.939009
0	74	81	11.140000	0.935007
0	75	81	11.420000	0.947115
0	74	79	11.700000	0.939684
0	70	80	11.890000	0.910558
0	70	75	12.480000	0.904221
0	71	75	12.680000	0.913312
0	74	76	12.880000	0.953008
0	75	71	13.510000	0.956626
0	76	71	13.720000	0.950423
0	76	70	13.940000	0.946764
0	76	72	14.160000	0.947748
0	75	68	14.610000	0.942392
0	76	70	14.720000	0.943581
0	75	70	15.070000	0.943322
0	75	72	15.190000	0.950822
0	74	74	15.300000	0.971424
0	74	71	15.780000	0.950176
0	72	65	16.400000	0.940141
0	70	62	16.920000	0.941558
0	70	62	17.180000	0.944737
0	69	62	17.440000	0.934737
0	69	62	17.850000	0.948000
0	65	62	17.990000	0.907420
0	65	62	18.270000	0.917118
0	64	62	18.550000	0.910175
0	69	63	18.830000	0.945111
0	65	62	18.980000	0.933899
0	68	65	19.270000	0.956676
0	68	66	19.270000	0.960785
0	68	65	19.870000	0.949621
0	67	64	20.020000	0.956061
2	4	3	19.260000	0.000000
0	64	64	20.180000	0.945455
2	4	3	19.260000	0.000000
0	63	63	20.650000	0.944659
2	5	4	19.110000	0.054545
0	65	65	20.810000	0.974648
0	63	67	20.970000	0.965604
0	63	69	20.970000	0.974176
0	62	62	21.790000	0.947690
0	61	56	22.470000	0.924837
