scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
0	109	40	0.600000	0.781633
0	108	45	0.720000	0.785415
0	107	51	0.840000	0.791238
0	105	56	0.920000	0.799277
0	107	61	1.040000	0.818861
0	106	66	1.120000	0.822653
0	105	71	1.240000	0.835318
0	104	76	1.320000	0.856761
0	104	81	1.450000	0.870912
0	109	86	1.530000	0.864847
0	111	91	1.660000	0.863415
0	110	96	1.740000	0.880374
0	110	100	1.830000	0.883684
0	108	105	1.960000	0.907072
0	107	109	2.050000	0.922068
0	106	114	2.140000	0.939161
0	105	118	2.230000	0.940949
0	104	123	2.360000	0.953192
0	103	126	2.410000	0.952864
0	101	131	2.550000	0.950094
0	100	135	2.640000	0.953901
0	100	138	2.730000	0.960284
0	98	134	2.970000	0.946758
0	97	132	3.220000	0.935742
0	97	130	3.470000	0.939799
0	96	128	3.720000	0.930688
0	94	127	3.980000	0.923200
0	94	125	4.250000	0.918821
0	93	122	4.470000	0.913672
0	92	120	4.750000	0.920808
0	91	119	5.030000	0.919984
0	90	117	5.270000	0.933972
0	89	115	5.570000	0.936375
0	89	113	5.810000	0.942561
0	87	111	6.060000	0.945170
0	87	109	6.320000	0.959375
0	86	107	6.570000	0.954059
0	85	102	6.710000	0.969755
0	84	104	7.110000	0.951806
0	84	103	7.390000	0.963041
0	82	101	7.670000	0.949488
0	81	102	7.960000	0.945968
0	80	96	8.400000	0.953623
0	80	95	8.710000	0.961512
0	78	92	8.940000	0.954535
0	78	93	9.340000	0.955854
0	77	88	9.750000	0.962061
0	76	87	10.080000	0.950049
0	75	87	10.430000	0.952841
0	74	86	10.690000	0.940682
0	74	85	10.960000	0.948800
0	74	83	11.230000	0.941903
0	72	82	11.510000	0.932200
0	72	81	11.800000	0.928712
0	71	79	12.080000	0.916003
0	71	79	12.380000	0.924278
0	70	79	12.680000	0.918507
0	69	79	12.980000	0.921068
0	69	77	13.300000	0.913840
0	69	76	13.510000	0.918699
0	69	76	13.830000	0.922049
0	68	75	14.160000	0.921021
0	67	74	14.380000	0.907858
0	68	74	14.720000	0.920743
0	66	73	15.070000	0.906627
0	65	72	15.300000	0.896705
0	65	71	15.660000	0.901565
0	65	70	15.910000	0.901175
0	64	70	16.150000	0.900217
0	63	69	16.530000	0.889958
0	63	68	16.790000	0.894935
0	64	68	17.050000	0.904935
0	63	67	17.440000	0.894474
0	63	66	17.580000	0.899657
0	62	66	17.850000	0.892986
0	61	65	18.270000	0.887941
0	62	65	18.550000	0.901749
0	62	64	18.690000	0.897695
0	61	63	19.120000	0.896218
0	61	63	19.420000	0.896218
0	59	62	19.570000	0.871212
0	59	63	20.020000	0.888258
0	59	61	20.330000	0.893131
0	60	61	20.650000	0.903900
0	59	61	20.970000	0.896813
0	58	61	21.130000	0.895804
0	59	60	21.290000	0.902455
0	58	60	21.620000	0.895245
0	57	59	21.960000	0.889855
0	57	60	22.130000	0.894203
0	56	58	22.470000	0.878105
0	56	57	23.000000	0.887482
0	56	57	23.180000	0.887482
0	56	57	23.540000	0.897847
0	55	56	23.720000	0.885693
0	54	55	24.100000	0.869672
0	55	55	24.470000	0.895513
0	54	54	24.660000	0.879231
0	54	53	25.050000	0.889115
0	53	54	25.250000	0.881939
0	53	53	25.650000	0.877251
0	52	53	26.060000	0.879967
0	52	51	26.470000	0.874360
0	52	52	26.680000	0.890209
0	52	51	27.100000	0.889416
0	51	50	27.320000	0.872217
0	51	50	27.540000	0.883402
0	51	50	27.760000	0.883402
0	50	50	27.980000	0.875000
0	50	50	28.430000	0.886364
0	50	49	28.890000	0.885516
0	50	50	28.890000	0.890601
0	49	49	29.350000	0.888633
0	64	55	28.890000	0.898788
0	48	48	30.810000	0.886594
0	48	47	31.320000	0.897940
0	48	47	31.580000	0.897940
0	47	46	31.840000	0.896007
0	47	46	32.100000	0.896007
0	47	46	32.370000	0.896007
0	47	46	32.630000	0.900654
0	46	45	33.180000	0.894000
0	46	45	33.460000	0.898717
0	46	44	33.730000	0.906199
0	46	44	34.020000	0.906199
0	46	44	34.300000	0.910989
0	45	44	34.590000	0.896703
0	45	44	34.880000	0.910096
0	45	43	35.480000	0.909191
0	44	43	35.780000	0.908260
0	44	42	35.780000	0.902378
0	43	42	36.080000	0.892426
0	44	42	36.390000	0.907319
0	43	42	36.700000	0.906348
0	44	42	37.020000	0.926708
0	42	41	37.660000	0.909583
0	42	40	37.660000	0.903333
0	42	41	38.320000	0.909583
0	42	40	38.320000	0.903333
0	41	40	38.650000	0.893097
0	41	40	38.990000	0.907592
0	41	40	39.330000	0.907592
0	41	40	39.680000	0.913142
0	41	39	40.030000	0.921790
0	42	39	40.380000	0.938069
0	41	39	40.740000	0.927442
0	40	39	41.110000	0.926667
0	40	39	41.470000	0.932576
0	41	38	41.480000	0.942424
0	39	38	41.850000	0.909091
0	39	38	42.220000	0.924945
0	40	37	42.610000	0.941066
0	40	38	42.610000	0.948043
0	40	38	42.990000	0.948043
0	39	39	43.780000	0.961071
0	38	38	43.780000	0.936429
0	38	37	44.180000	0.929286
0	38	36	44.180000	0.922143
0	39	36	44.590000	0.963415
0	37	36	45.000000	0.927517
0	38	36	45.420000	0.945466
0	37	36	45.840000	0.951579
0	37	35	46.270000	0.944079
0	37	35	46.700000	0.950810
0	37	36	46.700000	0.958502
0	36	35	47.140000	0.950312
0	36	35	47.590000	0.950312
0	36	34	47.590000	0.942620
