scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
1	25	48	26.070000	1.000000
1	24	46	26.070000	1.000000
1	24	45	25.870000	1.000000
1	24	47	26.070000	1.000000
1	25	47	26.070000	1.000000
1	26	45	25.870000	1.000000
1	27	47	25.870000	1.000000
1	28	47	25.870000	1.000000
1	27	45	25.670000	1.000000
1	29	46	25.670000	1.000000
1	28	46	25.470000	1.000000
1	28	46	25.470000	1.000000
1	29	46	25.470000	1.000000
1	29	47	25.670000	1.000000
1	29	47	25.470000	1.000000
1	29	46	25.270000	1.000000
1	30	48	25.470000	1.000000
1	30	48	25.470000	1.000000
1	31	47	25.470000	1.000000
1	31	48	25.470000	1.000000
2	32	47	25.270000	0.960075
2	32	47	25.270000	0.960075
2	33	47	25.270000	0.910635
2	34	47	25.270000	0.864104
2	34	47	25.270000	0.864104
2	34	47	25.270000	0.864104
2	34	48	25.070000	0.855780
2	34	47	25.070000	0.864104
2	35	47	25.070000	0.820232
2	35	45	24.870000	0.862782
2	35	46	24.870000	0.857744
2	35	48	24.870000	0.844511
2	35	47	24.870000	0.851654
2	36	47	24.870000	0.809346
2	37	49	24.870000	0.753272
2	33	48	24.870000	0.937252
2	34	49	24.870000	0.881501
2	9	9	23.560000	0.294361
2	33	48	24.680000	0.937252
2	34	49	24.680000	0.881501
2	9	10	27.340000	0.360210
1	23	47	24.680000	1.000000
2	33	46	24.300000	0.949556
2	9	9	27.340000	0.305270
1	23	46	24.300000	1.000000
2	9	9	27.340000	0.305270
1	24	48	24.300000	1.000000
1	23	45	24.110000	1.000000
1	23	45	24.110000	1.000000
1	23	46	24.110000	1.000000
1	23	45	24.110000	1.000000
1	23	44	23.920000	1.000000
1	24	45	23.920000	1.000000
1	22	45	23.920000	1.000000
1	24	49	24.300000	1.000000
1	23	47	24.110000	1.000000
1	23	46	23.920000	1.000000
1	23	47	24.110000	1.000000
1	23	49	24.300000	1.000000
1	23	46	23.740000	1.000000
1	22	50	24.110000	1.000000
1	22	46	23.740000	1.000000
1	23	49	24.110000	1.000000
1	21	45	23.740000	1.000000
1	22	45	23.740000	1.000000
1	22	45	23.740000	1.000000
1	21	46	23.550000	1.000000
1	22	48	23.740000	1.000000
1	22	48	23.740000	1.000000
1	21	47	23.740000	1.000000
1	23	49	23.920000	1.000000
1	22	48	23.740000	1.000000
1	22	47	23.740000	1.000000
1	22	48	23.740000	1.000000
1	23	49	23.920000	1.000000
1	23	49	23.740000	1.000000
1	24	49	23.920000	1.000000
1	25	48	23.740000	1.000000
1	25	48	23.740000	1.000000
1	25	48	23.740000	1.000000
1	25	48	23.740000	1.000000
1	24	48	23.740000	1.000000
1	24	47	23.740000	1.000000
1	24	48	23.740000	1.000000
1	24	48	23.740000	1.000000
1	24	49	23.920000	1.000000
1	23	49	23.920000	1.000000
1	23	48	23.740000	1.000000
