scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
2	9	9	2.260000	0.234043
2	9	10	2.130000	0.276596
2	9	9	2.080000	0.234043
2	9	10	1.950000	0.276596
2	9	9	1.910000	0.234043
2	9	9	1.820000	0.231250
2	9	9	1.730000	0.231250
2	9	10	1.610000	0.273148
2	9	9	1.560000	0.231250
2	9	9	1.440000	0.231250
2	9	10	1.360000	0.273148
2	9	10	1.190000	0.273148
2	12	12	0.790000	0.308333
2	11	11	1.270000	0.282639
2	10	10	1.030000	0.256944
2	11	13	1.310000	0.368497
2	11	12	1.440000	0.324242
2	12	12	1.690000	0.308333
2	12	14	1.910000	0.398818
2	11	11	2.130000	0.286052
2	59	25	0.750000	0.495867
2	11	13	2.350000	0.373265
0	109	25	0.940000	0.744888
2	12	13	2.530000	0.354196
2	46	15	1.010000	0.374015
2	57	22	1.100000	0.473604
2	12	11	2.770000	0.272400
2	44	15	1.260000	0.363286
2	53	24	1.350000	0.454383
2	11	13	3.010000	0.373265
2	45	15	1.460000	0.370578
2	53	22	1.550000	0.449315
2	12	12	3.200000	0.317185
2	42	13	1.670000	0.346617
2	57	23	1.810000	0.485714
2	11	13	3.400000	0.378820
2	40	13	1.890000	0.331880
2	54	23	2.030000	0.464241
2	11	11	3.650000	0.290753
2	10	10	2.020000	0.260047
2	36	13	2.110000	0.302763
2	55	23	2.250000	0.475921
2	11	12	3.860000	0.333433
0	114	36	0.740000	0.744412
2	45	14	2.290000	0.375491
2	52	22	2.430000	0.450696
2	11	12	4.020000	0.337671
0	119	36	0.940000	0.779412
2	39	13	2.520000	0.328290
2	54	22	2.660000	0.466205
2	10	10	4.280000	0.267559
0	121	42	1.060000	0.780882
2	44	13	2.750000	0.369047
2	47	19	2.810000	0.409103
2	11	11	4.500000	0.294314
2	9	10	0.710000	0.273148
0	119	42	1.260000	0.787401
2	51	21	3.090000	0.445636
2	11	11	4.730000	0.294314
2	11	10	0.950000	0.243687
0	117	42	1.460000	0.788098
2	50	21	3.290000	0.442199
2	11	12	4.900000	0.337671
2	13	11	1.230000	0.257959
0	117	42	1.680000	0.794030
2	43	13	3.380000	0.365409
2	49	19	3.490000	0.429262
2	10	11	5.130000	0.311054
2	11	11	1.480000	0.282639
0	125	44	1.850000	0.751385
2	40	13	3.590000	0.342962
2	52	19	3.690000	0.452088
2	11	12	5.360000	0.337671
