scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
0	104	36	0.640000	0.750419
0	103	43	0.800000	0.777262
0	100	50	0.920000	0.818537
0	99	56	1.040000	0.842576
0	102	63	1.200000	0.834552
0	98	70	1.320000	0.883530
0	99	76	1.450000	0.893219
0	100	82	1.570000	0.905119
0	100	88	1.700000	0.914586
0	99	93	1.830000	0.936241
0	98	99	1.960000	0.960752
0	97	104	2.050000	0.985263
0	96	110	2.180000	0.975324
0	96	115	2.320000	0.953376
0	95	120	2.410000	0.946399
0	92	125	2.550000	0.921029
0	91	130	2.640000	0.899019
0	91	132	2.830000	0.900480
0	90	128	3.120000	0.900949
0	91	126	3.420000	0.921803
0	90	123	3.720000	0.919436
0	90	121	4.040000	0.929308
0	88	119	4.310000	0.919923
0	86	122	4.690000	0.899192
0	85	112	5.210000	0.925682
0	85	110	5.510000	0.928333
0	84	111	5.940000	0.924883
0	83	102	6.380000	0.949066
0	83	100	6.640000	0.952027
0	82	99	7.040000	0.951484
0	81	98	7.320000	0.954293
0	81	96	7.600000	0.957381
0	81	94	7.890000	0.971774
0	81	92	8.180000	0.975000
0	82	91	8.560000	0.991566
0	81	89	8.860000	0.976539
0	83	88	9.100000	0.984797
0	82	86	9.340000	0.986667
0	79	83	9.750000	0.962491
0	77	84	9.920000	0.948578
0	75	84	10.260000	0.942614
0	77	84	10.520000	0.960114
0	75	83	10.780000	0.942457
0	74	80	11.050000	0.931558
0	75	81	11.420000	0.947115
0	74	79	11.700000	0.939684
0	70	80	11.890000	0.910558
0	69	75	12.480000	0.895130
0	69	76	12.680000	0.898701
0	69	78	12.990000	0.917454
0	73	71	13.510000	0.937960
0	74	71	13.830000	0.950423
0	74	72	14.050000	0.954081
0	75	76	14.490000	0.972022
2	19	9	19.110000	0.235494
0	74	70	14.720000	0.962500
0	74	71	14.840000	0.956661
0	76	71	15.190000	0.937483
0	74	73	15.300000	0.967626
0	73	76	15.420000	0.978885
0	70	70	15.910000	0.949786
0	70	67	16.530000	0.951180
0	68	62	16.920000	0.921558
0	69	62	17.310000	0.934737
0	64	63	17.580000	0.897960
0	67	62	17.850000	0.927710
0	75	61	18.260000	0.871941
0	75	62	18.400000	0.879293
0	73	61	18.690000	0.895827
0	72	61	18.980000	0.898446
0	72	63	19.120000	0.906665
0	71	60	19.570000	0.904784
0	71	60	19.870000	0.896970
0	69	62	20.020000	0.926515
0	69	61	20.490000	0.914670
0	70	60	20.650000	0.899675
0	68	61	20.970000	0.929121
0	68	63	21.130000	0.926250
0	67	64	21.130000	0.941473
0	69	66	21.290000	0.928170
0	67	68	21.460000	0.958616
0	66	69	21.620000	0.978125
0	64	71	21.790000	0.991304
2	7	7	19.110000	0.217955
