scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
2	11	12	119.680000	0.999441
2	11	15	119.680000	1.000000
2	11	14	119.680000	1.000000
2	12	16	119.680000	1.000000
2	12	15	119.680000	1.000000
2	12	16	119.680000	1.000000
2	12	16	119.680000	1.000000
2	13	15	119.680000	0.925740
2	13	15	119.680000	0.925740
2	12	14	119.680000	1.000000
2	12	15	121.660000	1.000000
0	13	16	121.660000	0.966667
2	13	14	119.680000	0.922012
2	13	16	119.680000	0.921183
2	13	15	119.680000	0.925740
2	13	16	119.680000	0.921183
0	14	16	119.680000	0.966667
0	14	17	121.660000	0.929487
0	14	16	119.680000	0.966667
0	14	15	119.680000	0.950000
0	14	15	119.680000	0.950000
0	14	16	119.680000	0.966667
0	14	15	119.680000	0.950000
0	14	15	119.680000	0.950000
0	14	15	119.680000	0.950000
2	13	15	119.680000	0.925740
0	14	15	119.680000	0.950000
0	13	15	121.660000	0.950000
0	14	16	119.680000	0.966667
0	14	15	119.680000	0.950000
2	11	15	121.660000	1.000000
2	11	15	119.680000	1.000000
2	11	16	119.680000	1.000000
2	11	15	121.660000	1.000000
2	11	16	119.680000	1.000000
2	12	15	119.680000	1.000000
2	11	15	119.680000	1.000000
2	11	15	119.680000	1.000000
2	11	16	119.680000	1.000000
1	12	18	119.680000	1.000000
1	10	15	119.680000	1.000000
2	11	15	119.680000	1.000000
2	11	15	119.680000	1.000000
1	10	15	119.680000	1.000000
1	10	17	119.680000	1.000000
1	10	17	119.680000	1.000000
1	10	15	119.680000	1.000000
1	10	15	119.680000	1.000000
1	10	15	117.750000	1.000000
2	10	14	117.750000	1.000000
2	11	15	119.680000	1.000000
2	11	14	117.750000	1.000000
2	11	16	117.750000	1.000000
1	10	17	119.680000	1.000000
2	11	16	119.680000	1.000000
2	11	16	117.750000	1.000000
2	11	15	119.680000	1.000000
2	10	14	117.750000	1.000000
2	11	16	117.750000	1.000000
1	10	16	117.750000	1.000000
2	11	15	117.750000	1.000000
2	11	16	117.750000	1.000000
1	11	17	119.680000	1.000000
2	11	16	117.750000	1.000000
2	12	16	117.750000	1.000000
2	12	16	117.750000	1.000000
2	12	17	119.680000	1.000000
2	11	15	119.680000	1.000000
2	11	15	119.680000	1.000000
2	11	15	119.680000	1.000000
2	12	17	119.680000	1.000000
2	11	16	117.750000	1.000000
2	12	17	119.680000	1.000000
2	11	16	117.750000	1.000000
1	10	15	117.750000	1.000000
2	11	16	117.750000	1.000000
2	10	14	117.750000	1.000000
2	10	13	121.660000	1.000000
2	10	12	119.680000	1.000000
2	10	14	117.750000	1.000000
2	10	14	117.750000	1.000000
1	10	15	117.750000	1.000000
2	10	14	117.750000	1.000000
2	10	14	117.750000	1.000000
2	10	14	117.750000	1.000000
1	10	15	117.750000	1.000000
1	10	15	119.680000	1.000000
1	10	15	117.750000	1.000000
2	10	12	119.680000	1.000000
1	10	15	117.750000	1.000000
2	10	14	117.750000	1.000000
1	10	15	117.750000	1.000000
1	10	16	115.880000	1.000000
1	10	15	117.750000	1.000000
2	10	14	117.750000	1.000000
2	10	14	117.750000	1.000000
2	10	13	119.680000	1.000000
2	10	13	119.680000	1.000000
2	10	12	119.680000	1.000000
2	10	11	121.660000	0.981538
2	9	10	119.680000	0.898291
2	9	9	121.660000	0.754615
2	9	9	121.660000	0.754615
2	9	9	121.660000	0.754615
2	9	9	114.060000	0.720000
2	9	9	123.700000	0.754615
1	10	15	117.750000	1.000000
1	10	16	115.880000	1.000000
2	10	10	112.280000	0.800000
2	11	16	115.880000	1.000000
2	10	9	119.680000	0.706154
2	10	14	114.060000	1.000000
1	10	17	117.750000	1.000000
2	11	16	115.880000	1.000000
2	11	11	123.700000	0.862308
2	9	10	123.700000	0.898291
2	11	12	117.750000	0.949091
2	12	16	119.680000	1.000000
2	11	14	117.750000	1.000000
2	12	17	117.750000	1.000000
2	13	15	117.750000	0.992308
2	12	16	117.750000	1.000000
2	12	17	117.750000	1.000000
2	12	16	115.880000	1.000000
1	11	17	117.750000	1.000000
1	11	17	117.750000	1.000000
1	11	17	117.750000	1.000000
2	11	16	117.750000	1.000000
1	10	15	115.880000	1.000000
1	11	17	117.750000	1.000000
1	11	17	117.750000	1.000000
2	11	16	115.880000	1.000000
2	10	12	119.680000	1.000000
2	10	10	119.680000	0.838462
1	11	17	117.750000	1.000000
1	11	17	117.750000	1.000000
2	11	15	117.750000	1.000000
2	11	16	115.880000	1.000000
2	11	16	115.880000	1.000000
2	12	16	115.880000	1.000000
2	11	15	115.880000	1.000000
1	11	17	115.880000	1.000000
1	11	17	117.750000	1.000000
2	11	16	115.880000	1.000000
2	11	16	115.880000	1.000000
2	12	16	115.880000	1.000000
2	12	17	117.750000	1.000000
2	10	13	119.680000	1.000000
2	13	16	115.880000	0.996923
2	9	12	117.750000	1.000000
2	10	12	117.750000	1.000000
2	11	15	117.750000	1.000000
2	11	13	117.750000	1.000000
2	11	16	115.880000	1.000000
2	11	16	115.880000	1.000000
2	12	16	115.880000	1.000000
1	11	17	117.760000	1.000000
1	9	16	115.880000	1.000000
1	10	17	117.760000	1.000000
1	10	16	115.880000	1.000000
2	10	11	119.680000	0.981538
2	10	11	119.680000	0.981538
2	10	12	119.680000	1.000000
2	10	11	119.680000	0.981538
2	9	9	119.680000	0.754615
2	9	9	119.680000	0.754615
2	10	11	117.760000	0.935000
2	9	12	117.760000	1.000000
2	9	9	119.680000	0.754615
2	9	9	119.680000	0.754615
2	9	9	117.760000	0.720000
2	9	9	117.760000	0.720000
2	9	11	121.660000	1.000000
2	9	10	119.680000	0.898291
2	9	9	121.660000	0.754615
2	9	9	121.660000	0.754615
0	11	10	110.560000	0.716667
2	9	10	108.880000	0.791246
1	9	17	115.880000	1.000000
2	11	16	114.060000	1.000000
2	10	11	110.560000	0.864667
2	9	9	121.660000	0.754615
2	9	9	110.560000	0.665455
2	9	9	114.060000	0.720000
2	9	11	121.660000	1.000000
2	9	9	121.660000	0.754615
2	9	11	119.680000	1.000000
2	10	9	119.680000	0.706154
2	11	16	115.880000	1.000000
2	9	9	110.560000	0.665455
2	12	15	114.060000	1.000000
1	10	15	115.880000	1.000000
2	11	15	115.880000	1.000000
2	11	13	114.060000	1.000000
2	10	13	114.060000	1.000000
1	10	17	115.880000	1.000000
1	10	17	115.880000	1.000000
1	10	16	114.060000	1.000000
2	10	14	114.060000	1.000000
2	11	14	114.060000	1.000000
2	9	10	119.680000	0.898291
2	10	11	121.660000	0.981538
2	9	9	119.680000	0.754615
2	10	14	115.880000	1.000000
2	9	9	119.680000	0.754615
2	9	9	119.680000	0.754615
2	9	13	115.880000	1.000000
1	10	15	115.880000	1.000000
2	10	14	115.880000	1.000000
2	12	16	115.880000	1.000000
2	11	14	114.060000	1.000000
2	10	11	110.560000	0.864667
2	10	13	117.750000	1.000000
2	9	9	119.680000	0.754615
2	9	11	112.290000	1.000000
2	9	9	112.290000	0.720000
1	10	15	117.750000	1.000000
2	9	10	114.060000	0.855556
0	11	10	112.290000	0.716667
2	9	9	119.680000	0.754615
2	9	9	112.290000	0.720000
2	9	9	46.710000	0.368824
2	9	9	112.290000	0.720000
2	10	12	112.290000	1.000000
2	10	9	112.290000	0.675000
2	9	9	115.880000	0.720000
2	9	9	121.660000	0.754615
2	11	14	119.680000	1.000000
2	11	15	117.750000	1.000000
2	11	13	117.750000	1.000000
2	11	14	115.880000	1.000000
2	11	13	117.750000	1.000000
2	11	15	117.750000	1.000000
2	12	14	115.880000	1.000000
2	11	15	117.750000	1.000000
2	11	14	115.880000	1.000000
1	10	15	117.750000	1.000000
1	9	16	117.750000	1.000000
1	10	16	115.880000	1.000000
2	11	11	119.680000	0.862308
1	9	14	115.880000	1.000000
2	10	14	115.880000	1.000000
2	11	16	117.750000	1.000000
2	11	15	117.750000	1.000000
2	11	16	115.880000	1.000000
2	11	15	117.750000	1.000000
2	13	16	117.750000	0.996923
2	11	15	117.750000	1.000000
2	12	13	119.680000	1.000000
2	11	16	115.880000	1.000000
2	10	14	115.880000	1.000000
2	11	15	117.750000	1.000000
2	11	15	117.750000	1.000000
1	10	16	117.750000	1.000000
2	10	14	119.680000	1.000000
2	10	12	117.750000	1.000000
2	11	13	119.680000	1.000000
2	10	14	117.750000	1.000000
1	10	15	117.750000	1.000000
2	11	16	117.750000	1.000000
2	12	15	117.750000	1.000000
2	12	17	117.750000	1.000000
2	12	14	115.880000	1.000000
2	13	16	115.880000	0.996923
2	12	16	117.750000	1.000000
2	11	16	115.880000	1.000000
2	12	15	117.750000	1.000000
2	12	14	115.880000	1.000000
2	11	15	115.880000	1.000000
1	9	14	114.060000	1.000000
2	11	15	115.880000	1.000000
1	11	17	117.750000	1.000000
2	12	15	117.750000	1.000000
2	12	14	119.670000	1.000000
2	11	15	117.750000	1.000000
2	10	12	117.750000	1.000000
1	10	15	117.750000	1.000000
2	9	10	119.670000	0.898291
1	10	15	115.880000	1.000000
2	9	9	114.050000	0.720000
1	10	16	115.880000	1.000000
1	10	16	115.880000	1.000000
1	10	16	115.880000	1.000000
2	9	10	117.750000	0.855556
2	9	11	117.750000	1.000000
2	9	10	115.880000	0.855556
2	9	11	119.670000	1.000000
2	9	13	119.670000	1.000000
2	9	9	105.640000	0.639205
2	9	9	114.050000	0.720000
2	9	12	115.880000	1.000000
2	9	12	115.880000	1.000000
2	10	13	115.880000	1.000000
2	9	13	115.880000	1.000000
2	10	12	115.880000	1.000000
1	9	14	114.050000	1.000000
2	9	10	117.750000	0.855556
2	9	10	117.750000	0.855556
2	9	9	119.670000	0.754615
2	11	12	115.880000	0.949091
2	11	13	117.750000	1.000000
2	11	14	115.880000	1.000000
2	11	14	115.880000	1.000000
2	11	15	117.750000	1.000000
2	11	14	115.880000	1.000000
2	11	14	115.880000	1.000000
2	12	15	117.750000	1.000000
2	11	14	115.880000	1.000000
2	12	16	115.880000	1.000000
2	11	16	115.880000	1.000000
2	16	12	5.080000	0.275418
2	12	13	119.670000	1.000000
2	10	13	119.670000	1.000000
2	10	13	119.670000	1.000000
2	10	13	119.670000	1.000000
2	9	9	4.410000	0.240803
2	10	13	119.670000	1.000000
2	13	13	119.670000	0.910000
2	10	13	119.670000	1.000000
2	10	13	119.670000	1.000000
2	10	10	121.650000	0.838462
2	10	9	121.650000	0.706154
2	9	9	108.870000	0.665455
2	9	9	121.650000	0.754615
2	9	9	3.020000	0.234043
2	9	9	121.650000	0.754615
2	11	10	4.430000	0.253725
2	9	9	5.170000	0.240803
2	9	9	123.690000	0.754615
2	9	9	121.650000	0.754615
2	10	9	119.670000	0.706154
2	9	10	117.750000	0.855556
0	14	16	114.050000	0.966667
0	14	16	114.050000	0.966667
0	14	16	114.050000	0.966667
2	13	17	115.870000	0.993846
2	13	17	115.870000	0.993846
2	12	16	115.870000	1.000000
2	12	16	115.870000	1.000000
1	10	16	117.750000	1.000000
1	10	16	117.750000	1.000000
1	10	16	117.750000	1.000000
1	10	16	117.750000	1.000000
2	11	16	117.750000	1.000000
2	11	16	117.750000	1.000000
2	11	16	117.750000	1.000000
0	13	17	119.670000	0.933333
1	10	16	117.750000	1.000000
1	10	16	117.750000	1.000000
2	11	16	119.670000	1.000000
1	10	16	119.670000	1.000000
1	10	15	119.670000	1.000000
2	12	16	119.670000	1.000000
0	15	16	119.670000	0.916667
0	16	16	119.670000	0.957143
2	13	16	119.670000	0.921183
2	12	16	119.670000	1.000000
0	19	17	121.650000	0.903968
0	13	9	127.950000	0.850000
0	17	17	121.650000	0.903968
0	15	16	119.670000	0.916667
0	16	17	121.650000	0.935714
2	12	17	121.650000	1.000000
2	12	17	121.650000	1.000000
0	11	9	130.170000	0.742308
0	15	17	123.690000	0.891964
0	11	10	130.170000	0.758974
0	11	9	130.170000	0.742308
0	12	9	130.170000	0.796154
0	14	10	130.170000	0.826786
0	17	17	123.690000	0.892929
0	14	9	130.170000	0.805357
0	17	18	123.690000	0.906566
0	17	17	123.690000	0.892929
0	16	17	123.690000	0.935714
0	16	17	123.690000	0.935714
0	16	18	123.690000	0.914286
0	14	18	123.690000	0.946154
0	17	18	123.690000	0.906566
0	15	18	123.690000	0.892308
0	15	17	125.790000	0.891964
0	15	10	132.470000	0.870536
0	17	11	134.840000	0.891964
0	14	10	132.470000	0.826786
0	15	10	132.470000	0.870536
0	17	17	125.790000	0.892929
0	15	17	125.790000	0.891964
0	13	17	125.790000	0.983333
0	17	18	125.790000	0.906566
0	15	17	125.790000	0.891964
0	17	18	125.790000	0.906566
0	15	17	125.790000	0.891964
0	16	19	130.170000	0.892857
0	16	10	134.830000	0.914286
0	16	18	127.950000	0.914286
0	15	17	127.950000	0.891964
0	16	18	127.950000	0.914286
0	15	18	127.950000	0.892308
0	16	18	127.950000	0.914286
0	14	18	127.950000	0.946154
0	14	10	134.840000	0.826786
0	14	10	134.840000	0.826786
0	14	11	137.280000	0.848214
0	13	10	134.840000	0.866667
0	15	11	137.280000	0.891964
0	16	11	137.280000	0.935714
0	15	12	137.280000	0.913393
0	15	12	137.280000	0.913393
0	15	11	139.800000	0.891964
0	15	11	139.800000	0.891964
0	15	10	137.280000	0.870536
0	16	11	139.800000	0.935714
0	12	9	139.800000	0.796154
0	16	11	142.400000	0.935714
0	14	10	139.800000	0.826786
0	15	16	134.840000	0.913393
0	14	10	139.800000	0.826786
0	15	11	142.400000	0.891964
0	14	10	139.800000	0.826786
0	14	10	139.800000	0.826786
0	13	10	139.800000	0.866667
0	14	11	142.400000	0.848214
0	12	10	139.800000	0.812820
0	15	16	137.280000	0.913393
0	16	16	137.280000	0.957143
0	14	10	142.400000	0.826786
0	15	11	145.090000	0.891964
0	13	10	142.400000	0.808333
0	22	30	156.810000	0.665546
0	14	9	145.090000	0.805357
0	13	11	147.870000	0.835784
0	13	9	145.090000	0.800490
0	14	11	147.870000	0.848214
0	14	10	145.090000	0.826786
0	14	10	145.090000	0.826786
0	14	10	145.090000	0.826786
0	14	12	147.870000	0.869643
0	14	10	145.090000	0.826786
0	16	12	147.870000	0.957143
0	14	10	145.090000	0.826786
0	15	15	142.400000	0.934821
0	13	10	145.090000	0.818137
0	14	12	147.870000	0.869643
0	13	11	147.870000	0.835784
0	16	15	145.090000	0.978571
0	14	10	147.870000	0.826786
0	14	12	150.750000	0.869643
0	13	11	150.750000	0.835784
0	14	15	147.870000	0.891071
0	13	10	147.870000	0.818137
0	13	10	147.870000	0.818137
0	13	10	147.870000	0.818137
0	14	11	150.750000	0.848214
0	13	10	150.750000	0.818137
0	14	15	147.870000	0.891071
0	14	10	150.750000	0.826786
0	14	10	150.750000	0.826786
0	13	10	150.750000	0.818137
0	14	10	150.750000	0.826786
0	14	10	150.750000	0.826786
0	14	10	150.750000	0.826786
0	13	10	150.750000	0.818137
0	14	11	153.730000	0.848214
0	14	11	153.730000	0.848214
0	14	11	153.730000	0.848214
0	14	10	153.730000	0.826786
0	14	12	153.730000	0.869643
0	14	10	153.730000	0.826786
0	14	10	153.730000	0.826786
0	13	10	153.730000	0.818137
0	14	9	156.810000	0.846190
0	13	9	156.810000	0.799524
0	13	9	156.810000	0.799524
0	13	9	156.810000	0.799524
0	14	10	156.810000	0.867619
0	13	10	156.810000	0.820952
0	13	10	156.810000	0.820952
0	13	10	156.810000	0.820952
0	14	10	156.810000	0.867619
0	14	10	156.810000	0.867619
0	13	10	156.810000	0.820952
0	11	9	160.010000	0.868750
0	11	10	156.810000	0.887500
0	10	9	160.010000	0.805114
2	9	9	160.010000	0.826786
2	9	9	160.010000	0.826786
0	13	10	160.010000	0.820952
2	9	9	160.010000	0.826786
0	14	11	163.330000	0.907179
0	13	9	163.330000	0.814359
0	13	9	163.330000	0.814359
0	13	9	163.330000	0.814359
0	11	9	163.330000	0.880000
0	11	9	163.330000	0.880000
0	10	9	163.330000	0.816364
0	12	16	160.010000	0.936364
0	10	9	163.330000	0.816364
0	9	9	166.770000	0.822857
0	12	11	170.340000	0.853846
0	9	9	166.770000	0.822857
0	11	9	166.770000	0.822857
0	14	9	166.770000	0.907692
0	9	9	166.770000	0.822857
0	10	9	166.770000	0.892857
0	10	9	166.770000	0.892857
0	9	9	166.770000	0.822857
0	13	12	170.340000	0.926923
0	9	9	166.770000	0.822857
0	9	9	170.340000	0.907692
2	9	9	163.330000	0.826786
0	10	9	177.920000	0.828788
0	9	9	177.920000	0.857955
0	9	9	177.920000	0.857955
0	12	11	190.500000	0.537500
2	9	9	3.100000	0.234043
0	109	38	0.570000	0.777027
0	112	44	0.680000	0.770530
0	111	49	0.800000	0.787156
0	111	54	0.880000	0.790760
0	110	59	1.000000	0.808270
0	108	65	1.120000	0.833562
0	107	70	1.200000	0.837354
0	106	75	1.320000	0.842209
0	105	80	1.400000	0.860790
0	104	84	1.490000	0.879403
0	103	89	1.610000	0.903244
0	109	94	1.700000	0.882749
0	110	99	1.830000	0.881428
0	108	103	1.910000	0.902876
0	108	108	2.000000	0.913366
0	108	112	2.090000	0.921757
0	106	116	2.180000	0.943357
0	105	121	2.320000	0.955634
0	104	125	2.410000	0.957418
0	103	129	2.500000	0.959202
0	102	133	2.590000	0.962979
0	100	137	2.690000	0.958156
0	100	141	2.780000	0.966667
0	99	142	2.920000	0.964218
0	98	140	3.170000	0.959615
0	96	138	3.420000	0.950269
0	96	136	3.670000	0.948079
0	95	133	3.930000	0.941091
0	94	131	4.200000	0.931959
0	92	129	4.410000	0.922183
0	92	126	4.640000	0.915565
0	91	124	4.920000	0.916465
0	90	122	5.150000	0.918665
0	90	121	5.450000	0.917908
0	88	117	5.630000	0.938144
0	88	117	5.930000	0.938144
0	87	117	6.250000	0.934375
0	86	115	6.510000	0.928796
0	85	112	6.710000	0.938176
0	84	110	6.970000	0.936352
0	84	109	7.250000	0.935849
0	83	107	7.530000	0.938368
0	82	106	7.740000	0.933359
0	81	104	8.030000	0.935870
0	80	103	8.330000	0.930797
0	80	101	8.550000	0.945351
0	79	99	8.860000	0.939891
0	79	98	9.100000	0.947724
0	78	97	9.420000	0.942520
0	77	96	9.670000	0.941837
0	76	95	10.000000	0.936565
0	76	94	10.170000	0.936336
0	74	92	10.430000	0.933864
0	74	91	10.780000	0.933707
0	74	90	11.050000	0.945351
0	74	92	11.420000	0.934766
0	71	87	11.890000	0.930121
0	71	87	12.280000	0.938396
0	70	86	12.480000	0.929221
0	70	86	12.780000	0.937594
0	70	84	13.090000	0.941122
0	69	83	13.400000	0.935526
0	68	83	13.720000	0.931008
0	67	82	13.940000	0.925333
0	67	81	14.270000	0.933784
0	66	80	14.490000	0.920621
0	67	80	14.840000	0.942466
0	65	79	15.180000	0.919538
0	64	78	15.420000	0.918425
0	64	77	15.780000	0.914627
0	64	76	16.030000	0.914530
0	62	75	16.400000	0.899729
0	62	75	16.660000	0.903475
0	63	74	16.920000	0.918312
0	63	73	17.310000	0.918158
0	62	73	17.580000	0.917143
0	62	72	17.850000	0.916986
0	61	72	18.120000	0.906841
0	61	70	18.400000	0.911725
0	61	70	18.690000	0.911725
0	61	69	19.120000	0.920875
0	59	69	19.420000	0.899980
0	59	68	19.720000	0.909091
0	59	67	20.020000	0.904924
0	58	67	20.330000	0.907714
0	58	66	20.650000	0.903489
0	58	66	20.970000	0.907473
0	58	66	21.130000	0.917232
0	57	66	21.460000	0.906295
0	57	65	21.960000	0.915942
0	57	64	22.130000	0.911594
0	56	64	22.470000	0.904575
0	56	64	22.820000	0.914611
0	55	62	23.180000	0.898580
0	55	61	23.540000	0.904282
0	55	61	23.910000	0.908420
0	54	60	24.090000	0.892399
0	54	60	24.470000	0.906923
0	54	59	24.860000	0.902308
0	53	59	25.250000	0.905376
0	52	58	25.450000	0.888824
0	53	57	25.850000	0.911084
0	52	57	26.260000	0.899015
0	52	57	26.470000	0.903393
0	51	56	26.680000	0.897284
0	51	55	27.100000	0.896808
0	51	55	27.540000	0.907992
0	51	56	27.760000	0.912910
0	50	54	28.430000	0.906364
0	50	54	28.660000	0.910940
0	50	53	29.120000	0.917640
0	50	55	29.590000	0.932631
0	49	52	30.070000	0.916135
0	48	52	30.320000	0.907646
0	48	51	30.810000	0.902383
0	47	52	31.070000	0.911264
0	47	51	31.840000	0.923280
0	47	51	32.100000	0.923280
0	46	50	32.370000	0.904100
0	46	50	32.630000	0.909150
0	46	49	33.180000	0.916222
2	15	11	13.380000	0.271944
0	46	49	33.450000	0.921358
0	45	49	33.730000	0.920216
0	45	48	34.020000	0.914555
0	45	48	34.300000	0.919780
0	45	48	34.590000	0.919780
2	16	12	12.680000	0.296512
0	44	47	35.180000	0.918137
2	15	11	12.480000	0.268818
0	44	47	35.480000	0.918137
0	44	47	35.780000	0.931790
2	16	12	12.290000	0.296512
0	44	46	36.080000	0.931319
2	16	11	12.290000	0.260610
0	44	46	36.390000	0.931319
2	10	10	12.200000	0.287791
0	43	46	36.700000	0.930348
2	10	9	12.010000	0.244360
0	43	46	37.020000	0.935980
2	10	9	12.110000	0.244360
0	42	46	37.340000	0.920763
0	43	45	37.990000	0.950139
2	10	9	12.310000	0.244360
0	42	45	38.320000	0.934583
0	42	45	38.650000	0.940567
0	42	45	38.990000	0.955416
0	41	44	38.990000	0.933124
0	41	44	39.330000	0.933124
0	41	44	39.680000	0.939229
0	41	43	40.380000	0.947877
0	41	43	40.740000	0.954109
0	41	42	40.740000	0.947442
0	40	42	41.110000	0.946667
0	40	42	41.470000	0.953030
0	39	42	41.850000	0.936364
0	40	42	42.220000	0.969290
0	40	41	42.610000	0.968973
0	39	41	42.990000	0.951900
0	39	41	43.380000	0.968547
0	39	40	43.380000	0.961570
0	39	40	43.780000	0.968214
0	39	39	44.180000	0.961071
0	38	40	44.180000	0.950714
0	39	40	44.590000	0.992683
0	37	40	45.000000	0.956786
0	38	40	45.420000	0.974734
0	37	40	45.840000	0.981579
0	38	39	46.270000	0.992500
0	36	39	46.700000	0.963158
0	38	39	47.140000	0.981081
0	37	38	47.140000	0.992308
0	36	39	47.590000	0.981081
0	36	39	48.040000	0.973186
0	36	38	48.040000	0.981081
0	36	38	48.500000	1.000000
0	36	38	48.960000	0.991892
0	35	37	49.430000	0.980556
0	35	38	49.430000	0.972447
0	36	37	49.910000	0.980000
0	36	38	50.390000	0.963333
0	34	37	50.890000	0.991667
0	35	37	51.380000	0.962269
0	34	37	51.890000	0.982857
0	34	36	51.890000	0.991429
0	35	37	52.400000	0.940433
0	34	36	52.400000	0.970216
0	34	36	52.920000	0.961141
0	35	35	53.450000	0.948752
0	33	35	53.450000	0.991176
0	34	35	53.980000	0.938068
0	33	34	53.980000	0.969034
0	33	34	54.530000	0.969034
0	33	35	55.080000	0.959943
0	33	35	55.640000	0.926714
0	33	34	55.640000	0.936089
0	33	35	56.210000	0.935509
0	33	34	56.210000	0.936089
0	33	34	56.790000	0.934412
0	33	34	56.790000	0.934412
0	33	34	57.370000	0.955000
0	33	33	57.970000	0.953846
0	33	34	57.970000	0.961538
0	33	33	58.570000	0.933258
0	32	32	58.570000	0.946154
0	32	33	59.190000	0.960526
0	32	34	59.190000	0.968421
0	31	34	59.810000	0.946546
0	31	33	60.450000	0.967568
0	31	33	60.450000	0.967568
0	31	33	61.090000	0.975000
0	31	32	61.090000	0.966667
0	31	33	61.750000	0.951667
0	31	32	61.750000	0.943333
0	31	33	62.410000	0.959524
0	31	32	62.410000	0.950952
0	31	32	63.090000	0.966667
0	30	32	63.090000	0.950148
0	31	32	63.780000	0.974286
0	30	31	63.780000	0.949391
0	30	32	64.480000	0.974286
0	31	31	64.480000	0.942381
0	30	31	65.190000	0.973529
0	30	31	65.920000	0.949391
0	30	31	65.920000	0.949391
0	30	31	66.650000	0.957680
0	30	31	66.650000	0.957680
0	30	31	67.400000	0.957680
0	30	30	66.650000	0.948589
0	30	30	67.400000	0.948589
0	30	30	67.400000	0.948589
0	29	30	68.170000	0.956250
0	30	31	68.940000	0.940625
0	29	30	68.940000	0.956250
0	29	29	69.740000	0.920023
0	29	30	69.730000	0.929398
0	28	30	70.540000	0.964397
0	28	30	70.540000	0.964397
0	28	29	71.360000	0.954719
0	28	29	71.360000	0.954719
0	28	30	71.360000	0.964397
0	28	29	72.200000	0.936154
0	28	28	72.200000	0.926154
0	28	29	73.050000	0.936154
0	28	28	73.050000	0.926154
0	28	28	73.050000	0.926154
0	28	28	73.910000	0.905655
0	28	29	74.800000	0.916000
0	27	27	74.800000	0.923310
0	27	28	74.800000	0.933655
0	27	28	74.800000	0.933655
0	27	28	75.700000	0.933655
0	27	28	75.700000	0.933655
0	28	28	76.620000	0.883333
0	27	28	76.620000	0.912500
0	27	26	76.620000	0.891071
0	27	27	77.550000	0.901786
0	27	27	77.550000	0.901786
0	27	28	77.550000	0.912500
0	27	27	78.510000	0.912500
0	27	27	78.510000	0.912500
0	27	26	78.510000	0.901389
0	27	27	79.480000	0.878261
0	27	27	79.480000	0.878261
0	27	26	79.480000	0.867150
0	27	26	80.480000	0.867150
0	27	26	80.480000	0.867150
0	26	26	80.480000	0.897585
0	25	27	81.490000	0.927592
0	26	26	81.490000	0.908696
0	27	27	82.520000	0.829371
0	25	24	81.490000	0.916054
0	25	24	80.480000	0.905797
0	25	23	81.490000	0.904515
0	25	26	82.520000	0.904545
0	25	25	83.580000	0.893007
0	25	23	82.520000	0.869930
0	25	25	84.660000	0.904545
0	25	26	83.580000	0.904545
0	25	23	83.580000	0.869930
0	25	22	83.580000	0.858392
0	25	24	84.660000	0.892545
0	25	25	85.760000	0.866667
