scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
2	191	54	0.820000	0.404951
2	195	67	1.100000	0.401830
2	200	80	1.350000	0.391337
2	202	93	1.640000	0.409904
2	207	105	1.900000	0.398381
2	211	116	2.120000	0.388378
2	215	125	2.390000	0.386677
2	220	136	2.620000	0.349419
2	224	145	2.850000	0.304461
2	234	156	3.050000	0.265714
2	238	164	3.290000	0.246043
2	240	172	3.490000	0.228777
2	261	180	3.700000	0.208696
2	265	189	3.900000	0.189130
2	245	196	4.060000	0.170803
2	273	210	4.440000	0.136765
2	227	217	4.660000	0.117778
2	224	223	4.830000	0.000000
2	217	229	5.000000	0.019091
2	211	235	5.170000	0.044954
2	204	241	5.350000	0.089908
2	199	245	5.530000	0.122018
2	193	250	5.650000	0.149074
2	188	256	5.830000	0.181481
2	183	261	6.020000	0.213889
2	179	265	6.140000	0.228972
2	174	262	6.530000	0.250943
2	170	254	7.060000	0.266667
2	166	247	7.620000	0.282692
2	161	240	8.120000	0.305825
2	157	234	8.650000	0.322549
2	154	227	9.280000	0.332673
2	150	222	9.770000	0.339394
2	146	215	10.360000	0.357143
2	143	211	10.890000	0.368041
2	141	205	11.440000	0.371875
2	138	200	11.910000	0.383158
2	135	196	12.500000	0.394681
2	132	190	13.000000	0.406452
2	130	186	13.530000	0.410870
2	127	182	14.070000	0.492980
0	125	178	14.630000	0.504248
0	123	174	15.200000	0.515753
0	120	170	15.680000	0.535455
0	118	167	16.300000	0.544514
0	116	164	16.800000	0.553773
0	115	161	17.460000	0.549816
0	113	157	18.000000	0.562544
0	111	155	18.560000	0.569175
0	110	151	19.140000	0.573879
0	107	148	19.590000	0.592700
0	107	146	20.040000	0.582431
0	104	143	20.660000	0.601814
0	102	141	21.310000	0.603934
0	101	139	21.810000	0.607955
0	99	136	22.320000	0.619192
0	97	134	22.840000	0.627225
0	96	133	23.560000	0.616892
0	96	130	23.930000	0.615166
0	93	128	24.490000	0.645569
0	93	126	25.070000	0.634858
0	91	124	25.670000	0.637817
0	90	122	26.070000	0.642500
0	88	121	26.690000	0.647753
0	87	119	27.340000	0.646719
0	87	117	27.770000	0.635201
0	86	115	28.440000	0.633931
0	85	114	28.900000	0.642485
0	82	109	30.090000	0.655180
0	80	107	30.580000	0.665278
0	80	106	31.080000	0.663224
0	80	106	31.590000	0.648887
0	77	102	32.650000	0.672915
0	76	101	33.470000	0.652717
0	75	100	33.750000	0.662408
0	75	99	34.610000	0.644828
0	73	96	35.490000	0.660432
0	72	95	36.100000	0.654688
0	71	93	36.720000	0.653507
0	70	92	37.040000	0.663930
0	70	91	37.680000	0.652270
0	69	91	38.330000	0.641138
0	68	90	38.670000	0.651887
0	68	88	39.350000	0.637158
0	67	87	40.050000	0.630392
0	66	86	40.400000	0.649290
0	66	85	41.120000	0.628632
0	66	85	41.490000	0.628632
0	64	84	41.860000	0.635714
0	64	83	42.620000	0.613939
0	64	82	43.010000	0.619394
0	63	81	43.800000	0.611702
0	63	79	44.200000	0.614532
0	62	80	44.600000	0.603692
0	61	78	45.010000	0.621739
0	60	77	45.850000	0.613725
0	61	76	46.280000	0.604052
0	60	76	46.720000	0.589455
0	59	75	47.600000	0.580351
0	59	74	48.050000	0.586474
0	58	74	48.050000	0.602753
0	58	73	48.980000	0.577083
0	57	72	49.450000	0.590426
0	56	72	49.920000	0.584328
0	57	71	50.900000	0.539457
0	56	70	50.900000	0.563478
0	55	69	51.900000	0.552821
0	55	69	52.420000	0.552821
0	56	69	52.940000	0.524417
0	55	68	53.460000	0.523206
0	54	67	54.000000	0.537821
0	53	67	54.540000	0.529855
0	53	66	54.540000	0.536832
0	53	65	55.650000	0.505159
0	52	65	56.220000	0.513279
0	53	64	56.220000	0.501152
2	52	64	56.800000	0.491707
2	52	62	57.390000	0.495000
0	51	63	57.980000	0.507500
2	51	62	58.590000	0.473077
2	50	62	59.200000	0.493665
2	50	61	59.830000	0.457815
2	50	61	60.460000	0.457815
2	49	61	61.100000	0.433530
2	49	61	61.760000	0.433530
2	49	60	61.760000	0.441638
2	48	60	62.430000	0.450000
2	48	60	63.100000	0.416129
2	48	59	63.790000	0.410415
2	47	60	64.490000	0.389048
2	46	58	64.490000	0.429524
2	47	58	65.200000	0.391569
2	46	58	65.200000	0.414902
2	46	57	66.670000	0.371473
2	46	56	66.670000	0.380564
2	46	57	67.420000	0.371473
